Date,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58
10/31/1921,232,1.8,6.35,15.09,0.39,0.39,0.1,0.31,3.2,6.74,0.5,0.2,6.35,1.7,1.05,6.58,3.5,9.6,99.24,1.37,0.66,20.35,1.52,2.02,4.25,24.51,0,0.44,0,7.22,0,0.79,9.66,0,3.12,0,0,0,0.1,26.24,0,0,0,0,0,0,13.93,2.52,0.34,0.04,0.02,0,13.18,0,0,0,0,0
11/30/1921,237,4.84,19.06,18.74,1.2,1.2,0.61,0.67,3,6.25,1,1.08,7,1,0,2.68,3.2,9.6,97.05,1.99,0.96,27.08,1.44,0.38,0.75,46.72,0,1.14,0,4.53,0.08,8.57,8.61,0,3.48,0,0,0,0.3,23.04,0,0,0,0,0,0,12.12,2.47,0.78,0.07,0.03,0,12.96,0,0,0,0,0
12/31/1921,335,29.86,42.02,27.97,6.77,6.77,3.41,3.72,8.8,18.27,4,18.54,20.52,9,0,3.28,9.5,24.9,190.49,6.3,3.05,119.34,28.5,5.42,5.01,135.58,34.57,13.82,2.28,10.85,13.68,24.96,52.15,3,43.98,8,6.4,11.66,10.4,63.39,0.49,0.12,0.07,0.27,0.79,0.49,56.09,13.08,5.69,10.46,0.9,0,21.67,0,0,0,0,0
1/31/1922,302,34.98,66.08,35.08,3.81,3.81,1.91,3.27,6.7,13.87,3,24.81,15.66,8,0,2.5,7.2,20.5,184.65,5.51,2.67,121.89,23.23,3.59,1.51,117.75,8.55,17.62,2.53,19.17,14.99,34.21,67.08,10,40.07,7,5.6,10,7.8,67.88,0.81,0.2,0.11,0.44,1.31,0.81,68.81,17.32,8.28,2.92,0.58,0,30.67,0,0,0,0,0
2/28/1922,547,34.88,60.32,32.1,19.38,19.38,10.15,10.24,18.4,38.2,8,24.03,43.16,52,0,18.12,19.8,50.1,390.54,15.38,7.45,338.25,157.27,75.59,35.82,371.43,131.51,104.52,17.71,58.98,108.74,104.85,165.95,0,163.28,29,23.2,41.3,36.1,96.02,3.64,0.92,0.48,1.98,5.84,3.64,89.8,26.62,15.05,13.5,2.43,0,33.84,0,0,0,0,0
3/31/1922,610,30.82,48.12,32.39,16.19,16.19,8.01,6.8,13.5,27.94,7,19.77,31.6,27.05,0,11.65,14.5,38.7,447.94,10.19,4.93,274.37,101.36,57.05,9.11,338.06,35.52,69.79,6.83,56.48,41.89,65.62,130.56,0,117.2,17.5,14,25.19,28.6,103.24,1.41,0.36,0.19,0.77,2.27,1.41,97.77,30.84,14.61,8.39,2.1,0,52.45,0,0,0,0,0
4/30/1922,780,88.58,34.14,31.71,17.16,17.16,7.48,5.25,15.2,31.66,8,58.47,35.72,37.25,4.24,31.36,16.4,42.3,827.11,10.34,5.01,414.22,63.54,35.78,9.41,487.52,14.72,83.9,4.55,106.51,28.88,119.62,164.68,0,124.13,9,7.2,12.67,20.4,193.33,0.49,0.12,0.07,0.27,0.79,0.49,163.1,50.47,18.85,5.21,1.94,0,84.44,0,0,0,0,0
5/31/1922,629,47.1,22.62,31.71,11.41,11.41,4.79,3.55,20.9,43.48,4,40.35,49.13,25.95,11.82,48.44,22.5,57.9,1469.55,9.73,4.71,847.49,36.38,20.69,12.53,1017.62,3.99,97.4,1.52,317.71,9.13,384.95,540.84,0,416.15,3.5,2.8,5.11,18,618.57,0.11,0.03,0.01,0.06,0.17,0.11,665.3,155.26,32.16,5.28,2.15,0,242.26,0,0,0,0,0
6/30/1922,338,11.02,7.62,23.16,4.35,4.35,2.38,0.78,12,25.01,1,4.76,28.28,6.9,8.68,35.17,13,35.3,659.9,1.61,0.78,662.16,0,62.05,11.35,670.61,0.87,32.69,0,279.91,2.38,296.02,598.14,0,399.57,1,0.8,1.54,4.5,734.28,0.04,0.01,0,0.02,0.06,0.04,705.72,118.65,13.69,1.39,0.6,0,202.43,0,0,0,0,0
7/31/1922,240,11.62,2.03,15.66,1.33,1.33,0.83,0.07,4.1,8.6,0.5,1.12,9.59,6.2,33.56,109.57,4.4,14.5,165.59,0.42,0.2,94.55,2.61,41.44,15.65,98.07,0.04,4.22,0,39.2,0.39,21.13,64.54,0,85.78,0,0,0.12,2.2,270.24,0,0,0,0,0,0,226.4,31.11,2.31,0.41,0.21,0,88.6,0,0,0,0,0
