,SWE_km3
2000-10-31,0.00636290540965274
2000-11-30,0.0084150327413372
2000-12-31,0.008682022945309656
2001-01-31,0.0794762117639184
2001-02-28,0.18444113700464368
2001-03-31,0.11479684921912849
2001-04-30,0.04375246128812433
2001-05-31,0.0
2001-06-30,0.0
2001-07-31,0.0
2001-08-31,0.0
2001-09-30,0.0
2001-10-31,0.0
2001-11-30,0.02899186521046795
2001-12-31,0.10204500585095957
2002-01-31,0.12854607136826962
2002-02-28,0.1486389205493033
2002-03-31,0.1271116802562028
2002-04-30,0.02855263752251631
2002-05-31,0.0
2002-06-30,0.0
2002-07-31,0.0
2002-08-31,0.0
2002-09-30,0.0
2002-10-31,0.0
2002-11-30,0.01860097528845654
2002-12-31,0.13387923958152534
2003-01-31,0.07946785877458752
2003-02-28,0.09369302604223777
2003-03-31,0.08090753015386873
2003-04-30,0.07324950631445973
2003-05-31,0.00329123126808554
2003-06-30,0.0
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.0
2003-11-30,0.015974488231353463
2003-12-31,0.07082581222969747
2004-01-31,0.11455576212517916
2004-02-29,0.17752826431207358
2004-03-31,0.06703069010493345
2004-04-30,0.007727898547775112
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.0
2004-11-30,0.026087079427263234
2004-12-31,0.09726618162170053
2005-01-31,0.21872286193817855
2005-02-28,0.2983930933326483
2005-03-31,0.2766664378941059
2005-04-30,0.2005452699814923
2005-05-31,0.03165764819830656
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,0.00859670956141781
2005-12-31,0.08116379506391241
2006-01-31,0.15373126169265014
2006-02-28,0.1604780835596903
2006-03-31,0.33305002319812776
2006-04-30,0.16582515968661754
2006-05-31,0.01951448189839721
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,0.0075560167373623695
2006-12-31,0.051398885293863716
2007-01-31,0.04550631939573213
2007-02-28,0.08947239162586629
2007-03-31,0.03866122118265775
2007-04-30,0.008654869440098991
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,0.0
2007-11-30,0.0
2007-12-31,0.06247249151580036
2008-01-31,0.22892895524948836
2008-02-29,0.29417492061853406
2008-03-31,0.19388665410131217
2008-04-30,0.045336351138947066
2008-05-31,0.0
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,0.0
2008-11-30,0.0
2008-12-31,0.10124056849256156
2009-01-31,0.10242520733550191
2009-02-28,0.17244785866141318
2009-03-31,0.12669096989929676
2009-04-30,0.04232095410348848
2009-05-31,0.0
2009-06-30,0.0
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,0.0
2009-10-31,0.0
2009-11-30,0.0
2009-12-31,0.10848337068781258
2010-01-31,0.1970438086241484
2010-02-28,0.23375653471425178
2010-03-31,0.26766402964293956
2010-04-30,0.1966389759036247
2010-05-31,0.05212897287542001
2010-06-30,0.0
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,0.0
2010-11-30,0.0682895328719169
2010-12-31,0.2367803688012064
2011-01-31,0.23621729223430157
2011-02-28,0.2980704084932804
2011-03-31,0.36005191583931445
2011-04-30,0.2328755895793438
2011-05-31,0.08861722843907774
2011-06-30,0.0
2011-07-31,0.0
2011-08-31,0.0
2011-09-30,0.0
2011-10-31,0.0
2011-11-30,0.0
2011-12-31,0.016590728916227822
2012-01-31,0.048534130971878774
2012-02-29,0.05091466307081283
2012-03-31,0.06943691667867825
2012-04-30,0.006372742249583098
2012-05-31,0.0
2012-06-30,0.0
2012-07-31,0.0
2012-08-31,0.0
2012-09-30,0.0
2012-10-31,0.0
2012-11-30,0.011777789747109638
2012-12-31,0.01697179834917188
2013-01-31,0.09525772414915264
2013-02-28,0.06677195283211768
2013-03-31,0.03363501863460988
2013-04-30,0.0014646670995280147
2013-05-31,0.0
2013-06-30,0.0
2013-07-31,0.0
2013-08-31,0.0
2013-09-30,0.0
2013-10-31,0.0
2013-11-30,0.0
