,SWE_km3
2000-10-31,0.03498590218182654
2000-11-30,0.038312900420511144
2000-12-31,0.045259258006843994
2001-01-31,0.21610821574367584
2001-02-28,0.44670103564485913
2001-03-31,0.33160726880840957
2001-04-30,0.2411479960372672
2001-05-31,0.0
2001-06-30,0.0
2001-07-31,0.0
2001-08-31,0.0
2001-09-30,0.0
2001-10-31,0.0
2001-11-30,0.10794341639592314
2001-12-31,0.3523441384918988
2002-01-31,0.4057513937160839
2002-02-28,0.4811762005053461
2002-03-31,0.4683515541516245
2002-04-30,0.20826762022112966
2002-05-31,0.0
2002-06-30,0.0
2002-07-31,0.0
2002-08-31,0.0
2002-09-30,0.0
2002-10-31,0.0
2002-11-30,0.0746562263453634
2002-12-31,0.3599861543942243
2003-01-31,0.30559675755305216
2003-02-28,0.3462298047894274
2003-03-31,0.3607854308629903
2003-04-30,0.40905476151063613
2003-05-31,0.05707535290622036
2003-06-30,0.0
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.0
2003-11-30,0.049813643774075905
2003-12-31,0.2489431540652513
2004-01-31,0.36513697657641025
2004-02-29,0.5660754762776197
2004-03-31,0.32338708824825885
2004-04-30,0.08553600233362524
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.0
2004-11-30,0.13524989670240029
2004-12-31,0.3642943926099688
2005-01-31,0.6756871175728739
2005-02-28,0.8858827748075128
2005-03-31,0.931696374911815
2005-04-30,0.7988985534840032
2005-05-31,0.22362909026630223
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,0.03291431726800511
2005-12-31,0.30102895009249914
2006-01-31,0.5634324583009038
2006-02-28,0.6044499711053577
2006-03-31,0.980187428817153
2006-04-30,0.8157822565382231
2006-05-31,0.22835905468562853
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,0.017422350799432024
2006-12-31,0.13804822766780853
2007-01-31,0.1434044317730004
2007-02-28,0.30064120938850103
2007-03-31,0.19541626524976707
2007-04-30,0.08183665395638673
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,0.0
2007-11-30,0.0
2007-12-31,0.1651196434851736
2008-01-31,0.5755070896670222
2008-02-29,0.7853301602527499
2008-03-31,0.6300668259747327
2008-04-30,0.23014759487555422
2008-05-31,0.0
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,0.0
2008-11-30,0.0
2008-12-31,0.2520585148073733
2009-01-31,0.28308306626789276
2009-02-28,0.5085209034653381
2009-03-31,0.432502967522596
2009-04-30,0.25967840194325253
2009-05-31,0.0
2009-06-30,0.0
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,0.0
2009-10-31,0.0
2009-11-30,0.0
2009-12-31,0.260002820270136
2010-01-31,0.49797029344365007
2010-02-28,0.6491900933608413
2010-03-31,0.7502148828916253
2010-04-30,0.6987563119570259
2010-05-31,0.2978953316265106
2010-06-30,0.0
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,0.0
2010-11-30,0.16501472878572532
2010-12-31,0.6294799672514201
2011-01-31,0.63078546269238
2011-02-28,0.8010698923841119
2011-03-31,1.1162176788374782
2011-04-30,0.8545771546028555
2011-05-31,0.4904634060403332
2011-06-30,0.0
2011-07-31,0.0
2011-08-31,0.0
2011-09-30,0.0
2011-10-31,0.0
2011-11-30,0.0
2011-12-31,0.049203988054301595
2012-01-31,0.14234581494890153
2012-02-29,0.1702639067694545
2012-03-31,0.2423829443016439
2012-04-30,0.05734669477400531
2012-05-31,0.0
2012-06-30,0.0
2012-07-31,0.0
2012-08-31,0.0
2012-09-30,0.0
2012-10-31,0.0
2012-11-30,0.07102402224453544
2012-12-31,0.11908232223847882
2013-01-31,0.33542237314931117
2013-02-28,0.28817257442791017
2013-03-31,0.2046575268910965
2013-04-30,0.02994679035805166
2013-05-31,0.0
2013-06-30,0.0
2013-07-31,0.0
2013-08-31,0.0
2013-09-30,0.0
2013-10-31,0.0
2013-11-30,0.0
2013-12-31,0.03399547893577256
2014-01-31,0.054750005682930356
2014-02-28,0.15637073335241441
2014-03-31,0.17489085950144
2014-04-30,0.04401703241234646
2014-05-31,0.0
2014-06-30,0.0
2014-07-31,0.0
2014-08-31,0.0
2014-09-30,0.0
2014-10-31,0.0
2014-11-30,0.011193752233986744
2014-12-31,0.08263334182640938
2015-01-31,0.05877888192458386
2015-02-28,0.07786758991028184
2015-03-31,0.00996237577032298
2015-04-30,0.0
2015-05-31,0.0
2015-06-30,0.0
2015-07-31,0.0
2015-08-31,0.0
2015-09-30,0.0
2015-10-31,0.0
2015-11-30,0.07149621267337353
2015-12-31,0.22510016987659043
2016-01-31,0.5219674474673229
2016-02-29,0.44636752954917036
2016-03-31,0.43732896631391494
2016-04-30,0.20914112105872484
2016-05-31,0.0
2016-06-30,0.0
2016-07-31,0.0
2016-08-31,0.0
2016-09-30,0.0
2016-10-31,0.0
2016-11-30,0.05807103062141687
2016-12-31,0.05602002795413137
2017-01-31,0.8435518652349712
2017-02-28,1.1172319541499018
2017-03-31,0.9849501797482373
2017-04-30,0.7839655705150217
2017-05-31,0.21690425464324656
2017-06-30,0.0
2017-07-31,0.0
2017-08-31,0.0
2017-09-30,0.0
2017-10-31,0.0
2017-11-30,0.03016210664343089
2017-12-31,0.05635029130522162
2018-01-31,0.05765093771022657
2018-02-28,0.11291886085015723
2018-03-31,0.2679721159171313
2018-04-30,0.11092362357699312
2018-05-31,0.0
